STATUS,START,END,SIZE,COMMIT_START,COMMIT_END,NUM_DIFF_EXCEPTION,EXCEPTION_:_SIZE
NO_POM,0,0,1,6c35df5c184441a76a2a0d1b5736450389da12a2,6c35df5c184441a76a2a0d1b5736450389da12a2,0, 
BUILD_FAILURE,1,31,31,1d06f573ee3a40f456d1a3d7fe7b8e676d24e765,e6de4e31f8c6865e1a4623d54b49beb683f3ab0e,1,ArtifactResolutionException1:31;
BUILD_SUCCESSFUL,32,35,4,27cd65b2d060c4a75a07b77a93d124868129f25a,a71b53811b5c686373c811e31aa1598d12a76573,0, 
BUILD_FAILURE,36,40,5,34c33780fcbaaa571c07104033e551416455c4bc,c1937d022bd72e7d61f9884a56f705b167c44fb8,1,ArtifactResolutionException1:5;
BUILD_SUCCESSFUL,41,46,6,697c3a5965259420a266cf98888c3b87b1019627,6fdcb41e89259297be70bf7ab17ba88e8f6829b8,0, 
BUILD_FAILURE,47,47,1,036f30a2d32f4d9235f12993d174dc73184bb97d,036f30a2d32f4d9235f12993d174dc73184bb97d,1,CompilationFailureException1:1;
BUILD_SUCCESSFUL,48,51,4,5b3135727a036c48a3c26eb0da73007712cb7981,be58305da89763b7a10ac26e14365aae6f0d5872,0, 
BUILD_FAILURE,52,58,7,a776edf7cb06728dfecb8d330a3152e50e468ca4,171afbd3e0f0b11c00aab3d4d18a3524ec032fd7,3,ProjectBuildingException1:2;PluginExecutionException2:4;CompilationFailureException3:1;
BUILD_SUCCESSFUL,59,62,4,bccc3701c71ce2706571cb33c2630044b263f07d,4ad2c6616b094d1868be73b639fab2cbc2dd902c,0, 
BUILD_FAILURE,63,64,2,2ce1c7781160b5ed0f18f4eb3691ee096e175aef,c0c4150df75cb920d52bbaf885f76211d849e314,1,CompilationFailureException1:2;
BUILD_SUCCESSFUL,65,66,2,55235687ec740526097564b105de3ef0a2eb78db,a9ace66275077de16e0470b34561c36de00bcfc9,0, 
BUILD_FAILURE,67,67,1,4331f430bcedf27951ca61373642a229845d9272,4331f430bcedf27951ca61373642a229845d9272,1,CompilationFailureException1:1;
BUILD_SUCCESSFUL,68,68,1,72224a3b8b0358ca67bd6ecf8a0dd5a2faad1ab7,72224a3b8b0358ca67bd6ecf8a0dd5a2faad1ab7,0, 
