STATUS,START,END,SIZE,COMMIT_START,COMMIT_END,NUM_DIFF_EXCEPTION,EXCEPTION_:_SIZE
NO_POM,0,1,2,19ab44f873feae6d8acedfe662d1839e4aece854,f10cd4207c54fc45e4b244b5e538f9943c697c5b,0, 
BUILD_SUCCESSFUL,2,11,10,3794e9a8a99172f9666befbba686af29276200ea,77428b0f44a61f2f92d9c03fba46b32f01d16d1c,0, 
BUILD_FAILURE,12,14,3,6e3ee160366ebd6b336d7b9f12984486a3bb886e,b27dfe0ce70beded9008df90e6a16c2ef66ba9aa,1,CompilationFailureException1:3;
BUILD_SUCCESSFUL,15,28,14,2b86daf8815f3c8d974f887e4cc064b9159db595,780f13d348531efbda8da1fd11c51039e50f29a9,0, 
BUILD_FAILURE,29,29,1,376241396ff4f055188039211af70d9f76c1d4f1,376241396ff4f055188039211af70d9f76c1d4f1,1,CompilationFailureException1:1;
BUILD_SUCCESSFUL,30,58,29,64c1e0e7648f424272c47866ccf28bf6eb11d761,aab5b10975f588398ff5dbb61174b0d9607d6618,0, 
BUILD_FAILURE,59,59,1,ee2c3b90b736e3ccaeaf204a658e917b87d378df,ee2c3b90b736e3ccaeaf204a658e917b87d378df,1,CompilationFailureException1:1;
BUILD_SUCCESSFUL,60,129,70,dcd89751d244a8b7e17d63e2088ede4eed94d8fb,1bf1bedafbf5bb9a892e41b3f16404c883d8a391,0, 
BUILD_FAILURE,130,130,1,91913d37243cdab7a8a0c0de132b538ed6b0419e,91913d37243cdab7a8a0c0de132b538ed6b0419e,1,CompilationFailureException1:1;
BUILD_SUCCESSFUL,131,163,33,0dd035b9be57a71ba23a29120f1e2153a3178b5b,6774cd73f239208e3c5d554eee49e0ce64e9986e,0, 
BUILD_FAILURE,164,164,1,4ed2d4be6a683c65f377711fbf83c236889caff1,4ed2d4be6a683c65f377711fbf83c236889caff1,1,CompilationFailureException1:1;
BUILD_SUCCESSFUL,165,349,185,b2b79ce6926dfe1b8e8ff13de8188f7650ee50c4,ce6ac916c9fca1ff6362dd99c380256ac180caab,0, 
BUILD_FAILURE,350,350,1,9758d20ddc6c45fd3ab40904a95324e304abf03e,9758d20ddc6c45fd3ab40904a95324e304abf03e,1,DependencyResolutionException1:1;
BUILD_SUCCESSFUL,351,554,204,215473a9dc41eb90a5dd832ade20b6099444bbc6,debb5da1ca37ee3a4dcd04f0599e6ecf18b8b77d,0, 
BUILD_FAILURE,555,1212,658,e324b097dcd46c645fd47774daa21f3852fbb0e4,aa3a58470d72e2d8299bc5599ac5321e329e83fa,3,MojoFailureException1:136;DependencyResolutionException2:204;MojoFailureException3:318;
BUILD_SUCCESSFUL,1213,1470,258,dba0ab5d1f1772d6255ac33ce78403f6b27f9c18,4bbbb1099066a7dbcdb909411e1a6a5e1b100a21,0, 
BUILD_FAILURE,1471,1471,1,3072d621d845e6c723c897c9158d3f45719003bd,3072d621d845e6c723c897c9158d3f45719003bd,1,MojoFailureException1:1;
BUILD_SUCCESSFUL,1472,1474,3,a00813bb625a13f77c509d6453367654bef910c9,da0b529ebefbb5d362d0dafb979be7b906b852b4,0, 
BUILD_FAILURE,1475,1475,1,631ca9916ba33e129c04c90266becc3561cf8d2a,631ca9916ba33e129c04c90266becc3561cf8d2a,1,MojoFailureException1:1;
BUILD_SUCCESSFUL,1476,1516,41,c7815c20880cead938e51619580c572703a3c329,dc456e512329dc40bb567664ccf377da38c00cc6,0, 
BUILD_FAILURE,1517,1517,1,4f6bdaf02ab47a44c002eeee6f65c9b2425360ae,4f6bdaf02ab47a44c002eeee6f65c9b2425360ae,1,ArtifactResolutionException1:1;
BUILD_SUCCESSFUL,1518,1644,127,226251e6ba654645a8bd7d74fa6de43908daff9e,33dca5048de37924e0a618ca0de0080bab39f021,0, 
BUILD_FAILURE,1645,1645,1,c9bee6eec71040e9b26117208b2850360f191d0b,c9bee6eec71040e9b26117208b2850360f191d0b,1,DependencyResolutionException1:1;
BUILD_SUCCESSFUL,1646,1775,130,084787964d3101f9988cb6c76bbb646805f5210a,59640e36a6cbef89f2e7b271028e7405c0030e3b,0, 
BUILD_FAILURE,1776,1777,2,88da824df57cd836aeff887e82749a86f3c3268a,8a7d2df479cb160dd09112ef1a37fcc40ece5891,1,MojoFailureException1:2;
BUILD_SUCCESSFUL,1778,1798,21,6945fa15ef9fd946b4a6fd935506bc7cb3ec0b10,c389ec5bf1d62936bcf1e0e553f55dfbe46dbdef,0, 
BUILD_FAILURE,1799,1799,1,d8534715ded0f303a18485012f9d23d792fd8093,d8534715ded0f303a18485012f9d23d792fd8093,1,MojoFailureException1:1;
BUILD_SUCCESSFUL,1800,1908,109,709f60686609257a59a1aa784d5dd9a78738c8e2,11bb1ef0d87d189df65a7f427455a4e225fda7a8,0, 
BUILD_FAILURE,1909,1911,3,3927e94d051df18e52418b1dc410f1622de7824c,a5d35c9381e6fa8dccb43a7c9c075bcf2af08b72,1,ArtifactResolutionException1:3;
BUILD_SUCCESSFUL,1912,2159,248,c427fe588a5266d6264551fc5d74f759b042e3c5,fb9e9fac3211426e84285b99c6ae8f068dd983a4,0, 
BUILD_FAILURE,2160,2160,1,b238622a11f95a2bf8f99a9d740b9a607fba4315,b238622a11f95a2bf8f99a9d740b9a607fba4315,1,MojoExecutionException1:1;
BUILD_SUCCESSFUL,2161,2214,54,bf62a64313c66787f2463b71ccce79bcc2795d02,9f4c7a709af843535b190c54b1b5a400b98ed2d8,0, 
BUILD_FAILURE,2215,2215,1,99f0b67b0553ff413ac39629b4a0ff9152ea525d,99f0b67b0553ff413ac39629b4a0ff9152ea525d,1,CompilationFailureException1:1;
BUILD_SUCCESSFUL,2216,2251,36,b216b786b754251a383546b5b03ca906577ecffc,f9da74d27efb608a5c9eed35d54851971cb914c3,0, 
