INDEX,COMMIT_ID,POM_FILE,BUILD_SUCCESSFUL,EXCEPTION,COMPONENT,ACTION
0,54611cad6ea988a1704cea62139d7a55fc760271,false,false,,,
1,0b54749f742c72ee8baafc27da10582766a179d8,true,false,ArtifactResolutionException,artifact,resolution
2,0ac6ec3bc0e20f0b91ccf5f79cf4b58390099b9d,true,false,ArtifactResolutionException,artifact,resolution
3,6547d754139d410445c09eeb14f2de559ba07cfc,true,false,ArtifactResolutionException,artifact,resolution
4,92865ee41c92a9da5a9c50f4d397d23de1a43996,true,false,ArtifactResolutionException,artifact,resolution
5,a8c946cbfb41e7dddb230714a405cd4417056e16,true,false,ArtifactResolutionException,artifact,resolution
6,cde61938bd6d2c52b18a5d963c4ea249e1d7a8b8,true,false,ArtifactResolutionException,artifact,resolution
7,cd864722784a1303e2128528566461de054d5d09,true,false,ArtifactResolutionException,artifact,resolution
8,e9d29f9dad2c5138dfe02fe80b75ce09ff7e8a4f,true,false,ArtifactResolutionException,artifact,resolution
9,e9788a1eac39e5d5c86377f422fefff791106645,true,false,ArtifactResolutionException,artifact,resolution
10,20a7d08b227b0c31e9339d2f4c00c18fccdd2bb5,true,false,ArtifactResolutionException,artifact,resolution
11,94558e2ec54494e565fbd089e524fc7086cc4ef2,true,false,ArtifactResolutionException,artifact,resolution
12,ee6c4c9fd7a47b01420be87405178ba4fe9a27f8,true,false,ArtifactResolutionException,artifact,resolution
13,467f2e7ef05380f7bdf9d05ff686f0cbd054695a,true,false,ArtifactResolutionException,artifact,resolution
14,707697e1ad637e50556b5ad6d55e5a93a13dc79f,true,false,ArtifactResolutionException,artifact,resolution
15,1e9193a267000a4285c7b89e9026c9916a3d45f1,true,false,ArtifactResolutionException,artifact,resolution
16,02848bf480bdcdf8516ba93ef00b2460b7cc8d10,true,false,ArtifactResolutionException,artifact,resolution
17,82470c643a4ecdd6b229e397a670ec4da3330cda,true,false,ArtifactResolutionException,artifact,resolution
18,a3a702da9b6c365602ea10f3a975b70531b6f8bb,true,false,ArtifactResolutionException,artifact,resolution
19,08b609506d0aecb3cb1a17fc532d55625054e877,true,false,ArtifactResolutionException,artifact,resolution
20,fe98d5f54a1b0667057d0d8a2437885dadb8d442,true,false,ArtifactResolutionException,artifact,resolution
21,a2de867e0308b05553be07eba9d1b51ae67257ce,true,false,ArtifactResolutionException,artifact,resolution
22,0bf2b46922bf21bac213cf2af0b41a4b322e8ac9,true,false,ArtifactResolutionException,artifact,resolution
23,1eaec5340a840d3ad33a588a693553e98ebb24dc,true,false,ArtifactResolutionException,artifact,resolution
24,ce3b39ef52d3b5de5da665914d1a8fcacc44c217,true,false,ArtifactResolutionException,artifact,resolution
25,c96ff12519e2fc24791115d85c87f7ae6184aafa,true,false,ArtifactResolutionException,artifact,resolution
26,f1457e0298c05a4382ec6b4ed6f0afc197e206c6,true,false,ArtifactResolutionException,artifact,resolution
27,1f8e58ebe7099f676269ec8a94f76ebc0166ee83,true,false,ArtifactResolutionException,artifact,resolution
28,5d59a918ce7f25578ebbfc0190d874c1e365ceaf,true,false,ArtifactResolutionException,artifact,resolution
29,68ba4395edf5cdbc5a9faa36009e78252a17f7b9,true,false,ArtifactResolutionException,artifact,resolution
30,dee72d1796e59add7c11273013205fe938439daf,true,false,ArtifactResolutionException,artifact,resolution
31,dd89157777178f5f84c618ccf8d718f41959135e,true,false,ArtifactResolutionException,artifact,resolution
32,40b0d1d5ea147142e4c98dd9ffa608f2cbddaf7e,true,false,ArtifactResolutionException,artifact,resolution
33,c7547012a78186fd6d57cd86643d57a426d2b548,true,false,ArtifactResolutionException,artifact,resolution
34,b56fa5a5a7bcf1cc264bb12385d8a195bd618c36,true,false,ArtifactResolutionException,artifact,resolution
35,008ac3c8cc9bf54b810a07d26fa300f794ced963,true,false,ArtifactResolutionException,artifact,resolution
36,185ee7e5bffefa04b8d161d53b2dffcf43e1f176,true,false,ArtifactResolutionException,artifact,resolution
37,3f8c858b666ba3bb623275d2e5113b50bdbaa0db,true,false,ArtifactResolutionException,artifact,resolution
38,2f8b094760dbdaaba873eef01c688a417933c1e3,true,false,ArtifactResolutionException,artifact,resolution
39,2c2468978d28f5417804f7e1cd0082a8d9e1fde6,true,false,ArtifactResolutionException,artifact,resolution
40,96d69a43dac1a5630bb85550941020468ee9bf52,true,false,ArtifactResolutionException,artifact,resolution
41,6b9c33f9f0fafcef2b51f6629f2016edf030db96,true,false,ArtifactResolutionException,artifact,resolution
42,4ef203eeeab9af82b961bf2b73bc0636419a7d73,true,false,ArtifactResolutionException,artifact,resolution
43,df6c9dacb2e85aa0b2c03f09c1a027700e7daf83,true,false,ArtifactResolutionException,artifact,resolution
44,63e4904c0c713589fc2c9c2502f6a2efeb6f8614,true,false,ArtifactResolutionException,artifact,resolution
45,cfcfb33100c17af35f3e0775a8a3395afd38535f,true,false,ArtifactResolutionException,artifact,resolution
46,78c14ff90200e8dc52b5a08e6c06482d0e9bf9b9,true,false,ArtifactResolutionException,artifact,resolution
47,92a014fccb666931af38008edcf3b7ac5d0fa3f7,true,false,ArtifactResolutionException,artifact,resolution
48,f84c64f186b79ca90d614b34965cbc0f9e1707b3,true,false,ArtifactResolutionException,artifact,resolution
49,9d6a7b67b44c935d09449f4faeb03dcc10506d49,true,false,ArtifactResolutionException,artifact,resolution
50,7299492a0b219b3f1852a06b69ede8b45fb303dd,true,false,ArtifactResolutionException,artifact,resolution
51,f36a30aaff2d24d06617ce322140eef4f320b36b,true,false,ArtifactResolutionException,artifact,resolution
52,9418d5a0e185fac6a4ab944dae7b87ca71cffd6a,true,false,ArtifactResolutionException,artifact,resolution
53,6ac8007e72eb76ab585e17c348ea2965c36e722c,true,false,ArtifactResolutionException,artifact,resolution
54,e25340a84f192522f7dc43e68ace8e3665db4af2,true,false,ArtifactResolutionException,artifact,resolution
55,4a8e05f1a727b86a03a1bdc287f3f3e3d362dfa5,true,false,ArtifactResolutionException,artifact,resolution
56,da0716ad5e13e9a16b1c9665e7352a9097784727,true,false,ArtifactResolutionException,artifact,resolution
57,66225fe870a35c0b1ac8178037c08e9f48c6ddcd,true,false,ArtifactResolutionException,artifact,resolution
58,cb3f64d89feb2628a2cce9adf36179e0c7c3b4b0,true,false,ArtifactResolutionException,artifact,resolution
59,33b453ee9aa1a473656b35e53ad3f066fe76009d,true,false,ArtifactResolutionException,artifact,resolution
60,877975151f8d2472d29c0e842ea67c0ee65613b7,true,false,ArtifactResolutionException,artifact,resolution
61,a4c174d580494cf7a52f15d9c2a2cdef593c49ba,true,false,ArtifactResolutionException,artifact,resolution
62,7e3449e308546fc7be86e73b377afecd444e15c4,true,false,ArtifactResolutionException,artifact,resolution
63,d969645ab01962b09b5e87cf865dca1d4bfc4d6d,true,false,ArtifactResolutionException,artifact,resolution
64,ecca1e381b4c2a31ec818520123ad7ae4e2666d7,true,false,ArtifactResolutionException,artifact,resolution
65,d93d43337e316e2caf527eeb5cb57c5eac9de961,true,false,ArtifactResolutionException,artifact,resolution
66,ef99c263592d26763ee9dbeb7bd41430556a2c73,true,false,ArtifactResolutionException,artifact,resolution
67,e392745fca34b0972a445418027bbec7797a5076,true,false,ArtifactResolutionException,artifact,resolution
