commitID;commit-type;time-to-next-release;commit-message
91d391ecf77fcb4b308c8a987cd8a2645836b466;BREAKING_FIX;10;add rudimentary POM that only builds the full velocity-tools jar so far git-svn-id: https://svn.apache.org/repos/asf/velocity/tools/trunk@485872 13f79535-47bb-0310-9956-ffa450edef68
d2d194d8fe589e1eaaee1b94e8d306de20ebe782;BREAKING_CHANGES;6;update to mirror key changes in Struts 1.3.x's JavascriptValidatorTag (thx to Niall Pemberton and Christopher Schultz) VELTOOLS-58 git-svn-id: https://svn.apache.org/repos/asf/velocity/tools/trunk@497643 13f79535-47bb-0310-9956-ffa450edef68
4eea15ade4deff0b82ecb3beb1fe7c65cc9d8266;BREAKING_FIX;9;mark servlet api as provided scope (shame the servlet-api's pom can't just tell maven to use this as the default instead of the default default of 'compile') and update dependency graph to match veltools2 so that you can actually compile veltools1.4 with Maven git-svn-id: https://svn.apache.org/repos/asf/velocity/tools/trunk@595826 13f79535-47bb-0310-9956-ffa450edef68
d81921beac5e12fa1478dfd908f78ff533436d75;BREAKING_CHANGES;90;support use of VelocityView equally in servlets or filters and make it easier to use without access to either FilterConfig or ServletConfig git-svn-id: https://svn.apache.org/repos/asf/velocity/tools/trunk@647050 13f79535-47bb-0310-9956-ffa450edef68
9d3154a64c36fcbe694b43e864207301794c305f;BREAKING_FIX;90;oops was missing new file in revision 647050 git-svn-id: https://svn.apache.org/repos/asf/velocity/tools/trunk@647179 13f79535-47bb-0310-9956-ffa450edef68
c5c4c9f4e380edbde5b40ba33a6c244e219df285;BREAKING_CHANGES;17;re-architect things so LocaleConfig is request-aware (at least, when in request scope), making ViewResourceTool superfluous git-svn-id: https://svn.apache.org/repos/asf/velocity/tools/trunk@670987 13f79535-47bb-0310-9956-ffa450edef68
57c1ff75304b8add39fed432976c12a831b4c1d5;BREAKING_FIX;17;continuation of revision 670987 (make LocaleConfig request-sensitive/remove ViewResourceTool) git-svn-id: https://svn.apache.org/repos/asf/velocity/tools/trunk@671008 13f79535-47bb-0310-9956-ffa450edef68
1614fb88cc4ed091994e1ec7d7c90847cfc728f2;BREAKING_CHANGES;17;with apologies to anyone who extended AbstractLockConfig since beta1, but it really needn't be abstract and is better fixed now, before beta2 git-svn-id: https://svn.apache.org/repos/asf/velocity/tools/trunk@671010 13f79535-47bb-0310-9956-ffa450edef68
9799283d038331d7e60f803759c6af6a0c7240b2;BREAKING_FIX;16;actually add SafeConfig class (should have been done in r671010) git-svn-id: https://svn.apache.org/repos/asf/velocity/tools/trunk@671170 13f79535-47bb-0310-9956-ffa450edef68
52f1d2582211c629f7a7f91c53c8d9ccb4ca36a5;BREAKING_CHANGES;1;VELTOOLS-99 - create an XmlTool (inspired by Philippe Collignon's XmlGen in API and DVSL's Dom4jNodeImpl in implementation) git-svn-id: https://svn.apache.org/repos/asf/velocity/tools/trunk@675383 13f79535-47bb-0310-9956-ffa450edef68
8db923b9c822ca81172c9be84220b0efbfa044ff;BREAKING_FIX;98;dom4j is compile dependency now git-svn-id: https://svn.apache.org/repos/asf/velocity/tools/trunk@688800 13f79535-47bb-0310-9956-ffa450edef68
28d24ac02ff42030da399e51087c38885e983d40;BREAKING_CHANGES;88;make VelocityView more informative, more extensible/flexible and less paranoid/controlling git-svn-id: https://svn.apache.org/repos/asf/velocity/tools/trunk@692275 13f79535-47bb-0310-9956-ffa450edef68
bc40f0ec95fd509818377604735e5b5804101171;BREAKING_FIX;87;be more spring-xml-config-friendly git-svn-id: https://svn.apache.org/repos/asf/velocity/tools/trunk@692337 13f79535-47bb-0310-9956-ffa450edef68
b1aa77f35f07bfb56ec8553f51e80ac83b523a83;BREAKING_CHANGES;94;WebappUberspector to allow ,  and  control objets to share their attributes via standard property getters and setters git-svn-id: https://svn.apache.org/repos/asf/velocity/tools/trunk@746564 13f79535-47bb-0310-9956-ffa450edef68
aa80cddfd2951d12451b012a7b78a751d3b841ba;BREAKING_FIX;20;move Maven build to Engine 1.6.2 also (VELTOOLS-114) git-svn-id: https://svn.apache.org/repos/asf/velocity/tools/trunk@772395 13f79535-47bb-0310-9956-ffa450edef68
628d4f7ed8c67193e8d097181162230b1fedb206;BREAKING_CHANGES;-;Promoting sandboxed Tools to trunk. git-svn-id: https://svn.apache.org/repos/asf/velocity/tools/trunk@998298 13f79535-47bb-0310-9956-ffa450edef68
