STATUS,START,END,SIZE,COMMIT_START,COMMIT_END,NUM_DIFF_EXCEPTION,EXCEPTION_:_SIZE
NO_POM,0,746,747,92136b9c4d72beaa14e467c97adc66afff2bb6a3,d01c3743b6b14cf5311063cac1473b49a340ac68,0, 
BUILD_SUCCESSFUL,747,797,51,91d391ecf77fcb4b308c8a987cd8a2645836b466,628968e4952cf5dd10334dfcf99f3fd10283b196,0, 
BUILD_FAILURE,798,890,93,d2d194d8fe589e1eaaee1b94e8d306de20ebe782,cfc11af125b66f9bfb18e3fd08de2daa422ed9b2,1,CompilationFailureException1:93;
BUILD_SUCCESSFUL,891,962,72,4eea15ade4deff0b82ecb3beb1fe7c65cc9d8266,41edd2ad9a15801e34f25fbd5b3487fce45266a4,0, 
BUILD_FAILURE,963,963,1,d81921beac5e12fa1478dfd908f78ff533436d75,d81921beac5e12fa1478dfd908f78ff533436d75,1,CompilationFailureException1:1;
BUILD_SUCCESSFUL,964,997,34,9d3154a64c36fcbe694b43e864207301794c305f,3f5f6077ddd78b07a76117e5db543c1ebdfe4053,0, 
BUILD_FAILURE,998,1000,3,c5c4c9f4e380edbde5b40ba33a6c244e219df285,7d34d7a55130f2d282adda7440e2e190367d66e3,1,CompilationFailureException1:3;
BUILD_SUCCESSFUL,1001,1002,2,57c1ff75304b8add39fed432976c12a831b4c1d5,27b70242696cfa8b8be891950128e064b14ba1b9,0, 
BUILD_FAILURE,1003,1004,2,1614fb88cc4ed091994e1ec7d7c90847cfc728f2,d46fda64fa347571672e2d0dd786486e07d75006,1,CompilationFailureException1:2;
BUILD_SUCCESSFUL,1005,1025,21,9799283d038331d7e60f803759c6af6a0c7240b2,a32df70e12ff6101b0715357ca13f73348216435,0, 
BUILD_FAILURE,1026,1044,19,52f1d2582211c629f7a7f91c53c8d9ccb4ca36a5,02398d9b5c36501f3e864613d6410905cb3ba775,1,CompilationFailureException1:19;
BUILD_SUCCESSFUL,1045,1050,6,8db923b9c822ca81172c9be84220b0efbfa044ff,24cc35ac09006238418bb420c7cd44299bdf668b,0, 
BUILD_FAILURE,1051,1051,1,28d24ac02ff42030da399e51087c38885e983d40,28d24ac02ff42030da399e51087c38885e983d40,1,CompilationFailureException1:1;
BUILD_SUCCESSFUL,1052,1121,70,bc40f0ec95fd509818377604735e5b5804101171,2a7c3ca3059129c93bb0f2f9a6535522e821274b,0, 
BUILD_FAILURE,1122,1132,11,b1aa77f35f07bfb56ec8553f51e80ac83b523a83,1d829f5fcb1c95cf752bf28c8ccba8f365364325,1,CompilationFailureException1:11;
BUILD_SUCCESSFUL,1133,1172,40,aa80cddfd2951d12451b012a7b78a751d3b841ba,851f6b018823abb9abd26046a9b71b7fcad6b429,0, 
BUILD_FAILURE,1173,1206,34,628d4f7ed8c67193e8d097181162230b1fedb206,cb310fd1ce3a1fd1f7afabdc79a22481325b5e5a,1,ArtifactResolutionException1:34;
