commitID;commit-type;time-to-next-release;commit-message
18a00fbf375cdd82d8ad3c458ae05d350562f55a;BREAKING_FIX;30;Add a Maven 2 Build. Unfortunately it is currently impossible to skip the download with M2. I've filed a bug with them and will hopefully hear back soon. git-svn-id: https://svn.apache.org/repos/asf/webservices/commons/modules/XmlSchema@379574 13f79535-47bb-0310-9956-ffa450edef68
a56ef80ae510a71a209a9639790bdc45ec1fda1c;BREAKING_CHANGES;12;1. Changed the serialization from static to instance driven. 2. Fixed the serializer to have proper extension serialization calls 3. Added a test case to check the extension attributes git-svn-id: https://svn.apache.org/repos/asf/webservices/commons/trunk/modules/XmlSchema@523933 13f79535-47bb-0310-9956-ffa450edef68
5fa35b1e42c19af0dbc04ac9a529dced3c8f318a;BREAKING_FIX;12;1. Added a test case for custom element serialization 2. Changed some of the comments and method names so that things make sense git-svn-id: https://svn.apache.org/repos/asf/webservices/commons/trunk/modules/XmlSchema@523937 13f79535-47bb-0310-9956-ffa450edef68
1511a832166a98c7c4329d03b6f4c909d753e3f5;BREAKING_CHANGES;78;Better test for DOM3 interfaces. works on both IBM and Sun 1.4 JDK's git-svn-id: https://svn.apache.org/repos/asf/webservices/commons/trunk/modules/XmlSchema@612497 13f79535-47bb-0310-9956-ffa450edef68
502eae630b03a9201cbc5e8ff874d45e41004218;BREAKING_FIX;76;some defensive code to prevent NPE (and fix build break) git-svn-id: https://svn.apache.org/repos/asf/webservices/commons/trunk/modules/XmlSchema@613213 13f79535-47bb-0310-9956-ffa450edef68
9f50b4515746fcaf99553bcf1ef00481d7ffcefc;BREAKING_CHANGES;71;A very large set of changes to comply with checkstyle, PMD, and Java 1.5. git-svn-id: https://svn.apache.org/repos/asf/webservices/commons/trunk/modules/XmlSchema@727246 13f79535-47bb-0310-9956-ffa450edef68
d4fc586865e72dc3ff45d63c8ba3071a0bd8eb27;BREAKING_FIX;71;Fix bad import. git-svn-id: https://svn.apache.org/repos/asf/webservices/commons/trunk/modules/XmlSchema@727248 13f79535-47bb-0310-9956-ffa450edef68
c1361b13aa301341771dae937f19ea4528cf3856;BREAKING_CHANGES;49;More work on things-with-names. Distinguish the 'name on the wire' of attributes and elements from the 'QName in the collection'. git-svn-id: https://svn.apache.org/repos/asf/webservices/commons/trunk/modules/XmlSchema@732417 13f79535-47bb-0310-9956-ffa450edef68
34b5977781c9fcf0855206400b5fa691c65d2509;BREAKING_FIX;49;Fix eclipse setup Workaround "bug" in command line javac (works fine in eclipse javac) git-svn-id: https://svn.apache.org/repos/asf/webservices/commons/trunk/modules/XmlSchema@732447 13f79535-47bb-0310-9956-ffa450edef68
774c795a1f6f396d6fd4962f6de302c18c4cfc38;BREAKING_CHANGES;49;Move the <element> to use the new ref discipline. git-svn-id: https://svn.apache.org/repos/asf/webservices/commons/trunk/modules/XmlSchema@732522 13f79535-47bb-0310-9956-ffa450edef68
a3d6c58da06eea49ba97299ba9f0a4b088a51bc3;BREAKING_FIX;49;Whoops, forgot a checkin. git-svn-id: https://svn.apache.org/repos/asf/webservices/commons/trunk/modules/XmlSchema@732523 13f79535-47bb-0310-9956-ffa450edef68
75802dd6caf69478c5b6ecb338faa2e7964bccc3;BREAKING_CHANGES;8; 	 WSCOMMONS-458 Just the first of many installments.git-svn-id: https://svn.apache.org/repos/asf/webservices/commons/trunk/modules/XmlSchema@762586 13f79535-47bb-0310-9956-ffa450edef68
9c549dd9da6f439e92ee1dafe71bf5c066d9265d;BREAKING_FIX;373;WSCOMMONS-463 git-svn-id: https://svn.apache.org/repos/asf/webservices/commons/trunk/modules/XmlSchema@766009 13f79535-47bb-0310-9956-ffa450edef68
