STATUS,START,END,SIZE,COMMIT_START,COMMIT_END,NUM_DIFF_EXCEPTION,EXCEPTION_:_SIZE
NO_POM,0,144,145,1ba61efa222ab793d39255a585b35fa947fc75df,5679a62210f4da3c842817402bec674c6b21b037,0, 
BUILD_FAILURE,145,204,60,79f45e182936f4181e8f095d55b925fac1a31f38,a74c2cd173fc6d4294ebc41b55589176a56437b0,1,DependencyResolutionException1:60;
BUILD_SUCCESSFUL,205,209,5,0c773cf4d4113cf55aa39d38f08ad938f6f12008,32d76370af78c875129c550b7703dc3a0ab88f12,0, 
BUILD_FAILURE,210,236,27,97ad85dab880d8d368044f872200cec542740f3c,4bc8a62da84a072f96f3a51901b016f933b7c304,1,DependencyResolutionException1:27;
BUILD_SUCCESSFUL,237,239,3,89cfcb83787a8d4e426957180c9e72a91c50ad03,5086934842451fa16b0487fab86254af24f88adc,0, 
BUILD_FAILURE,240,285,46,c4171f54bb7489368ee649d280063e42a8beb760,88f6500081b8b8b2b3f70b214bd72f7ce4c2854f,1,DependencyResolutionException1:46;
BUILD_SUCCESSFUL,286,308,23,5534135d91e75623e9dccb2bc8298a81eef967d8,b71c3c2065511201ce9db1aa7fbd0fc8fffad61c,0, 
BUILD_FAILURE,309,317,9,bbd49e0d22df3e33a4810f330beb03af411c7072,895b346f7865a2d2fbb61e6c9da6de61b4af1759,1,DependencyResolutionException1:9;
BUILD_SUCCESSFUL,318,328,11,ea9b659aee170bab13757472e3c364e050178016,e5de659ed2ec55bed2c3aebade7bb09e392cf101,0, 
BUILD_FAILURE,329,336,8,12d61c21e00710937e4717905b5b08ed4d7a94f6,7eacf9aebcb447f1fa7ddb37414c510ec830dad5,1,DependencyResolutionException1:8;
BUILD_SUCCESSFUL,337,339,3,053a89bdde6611298a553a337999577f6c32f12b,b24ed379b7eaf5d97b0c731be105b3a243d5120a,0, 
BUILD_FAILURE,340,341,2,f5548e026b8a0c3e98ace2200641c32594a4672f,eb1eb84b8928247ba08729b7ecbf49224dca873e,1,DependencyResolutionException1:2;
BUILD_SUCCESSFUL,342,357,16,7b46b011d6c3910ded53ffd82a8eda7a1b61a5df,d89307341ae26519e80164459ec3d7ded420c46a,0, 
