commitID;commit-type;time-to-next-release;commit-message
1c79a730e9a57587e81e96297beea81c22e98499;BREAKING_CHANGES;93;forgot the pom and assembly files git-svn-id: https://svn.apache.org/repos/asf/webservices/wss4j/trunk@507566 13f79535-47bb-0310-9956-ffa450edef68
698e4323b877caedfac8109d8fb32b85f9f30593;BREAKING_FIX;73;[WSS-124] - Changed opensaml dependency  - We're now pulling in opensaml 1.1 from maven central  - The repositories section of the pom is removed as a result  - I changed the scope of opensaml to be "provided". git-svn-id: https://svn.apache.org/repos/asf/webservices/wss4j/trunk@710081 13f79535-47bb-0310-9956-ffa450edef68
d99ab9398db592b29d622da259cddebcd2720e02;BREAKING_CHANGES;12;[WSS-241] - Patch applied. git-svn-id: https://svn.apache.org/repos/asf/webservices/wss4j/trunk@997530 13f79535-47bb-0310-9956-ffa450edef68
5c26413e1865b6ef2f444c92a7bff9eacee70c39;BREAKING_FIX;9;[WSS-242] - Patch applied  - I removed all of the static methods from WSSecSignature, and put them in a new file WSSecSignatureBase instead.  - Maven plugin verisons added back into the pom. git-svn-id: https://svn.apache.org/repos/asf/webservices/wss4j/trunk@998467 13f79535-47bb-0310-9956-ffa450edef68
800c1395d7aa880a2a0482dbd602062fdaff8697;BREAKING_CHANGES;20;Committing some fixes to get CXF working with WSS4J 1.6  - This merge breaks checkstyle...I'll fix this asap.  - The STR Transform requires some work as well. git-svn-id: https://svn.apache.org/repos/asf/webservices/wss4j/trunk@1031122 13f79535-47bb-0310-9956-ffa450edef68
bee685ce737ae8deb40403c60b33a3c08a8b7338;BREAKING_FIX;19;Temporary fix of some checkstyle errors. git-svn-id: https://svn.apache.org/repos/asf/webservices/wss4j/trunk@1031685 13f79535-47bb-0310-9956-ffa450edef68
9cf03955164d58401e2e6351eaf458a90ce3e52a;BREAKING_CHANGES;12;[WSS-249] - Parameterize Collections in WSS4J 1.6  - Fixed a bug in WSDocInfo, and some changes to WSHandler as well. git-svn-id: https://svn.apache.org/repos/asf/webservices/wss4j/trunk@1034482 13f79535-47bb-0310-9956-ffa450edef68
9aee213704b3b4163e56da5eb0fc2e5bb2fb3d76;BREAKING_FIX;12;[WSS-249] - Parameterize Collections in WSS4J 1.6 git-svn-id: https://svn.apache.org/repos/asf/webservices/wss4j/trunk@1034485 13f79535-47bb-0310-9956-ffa450edef68
e9da02860464f40a373385a7f3d425971e3bee64;BREAKING_CHANGES;6;[WSS-146] - Applied SAML2 patch to trunk  - This patch consists of Todd's SAML2 patch with a lot of modifications.  - All HOK tests are failing, and are @Ignore'd for the moment. git-svn-id: https://svn.apache.org/repos/asf/webservices/wss4j/trunk@1055456 13f79535-47bb-0310-9956-ffa450edef68
7f6fd98f1526efbb02e4fad0694a656055fdbfdd;BREAKING_FIX;16;[WSS-268] - Removing Shibboleth repository from pom. git-svn-id: https://svn.apache.org/repos/asf/webservices/wss4j/trunk@1082873 13f79535-47bb-0310-9956-ffa450edef68
4a69192661e7267c4c31cda29ab3e27a346ea090;BREAKING_CHANGES;3;Slight optimization to avoid having to import the generated elements. git-svn-id: https://svn.apache.org/repos/asf/webservices/wss4j/trunk@1152929 13f79535-47bb-0310-9956-ffa450edef68
05f487c9872369ced314ac9a01f2dafa3bf9c1b9;BREAKING_FIX;3;Fix unused import git-svn-id: https://svn.apache.org/repos/asf/webservices/wss4j/trunk@1152930 13f79535-47bb-0310-9956-ffa450edef68
568d7befcded51b4ab5692b41f5d8933b433fa8f;BREAKING_CHANGES;27;Upgrading to Santuario 1.5.0-SNAPSHOT  - Explicitly using Santuario provider now for JSR-105.  - Also fixed a failing test with the IBM JDK. git-svn-id: https://svn.apache.org/repos/asf/webservices/wss4j/trunk@1197531 13f79535-47bb-0310-9956-ffa450edef68
4dae6625955865ad76f9b8e887ff7c3be61b19d9;BREAKING_FIX;1;[WSS-326] - Downgrading from Santuario 1.5.0 to 1.4.6 git-svn-id: https://svn.apache.org/repos/asf/webservices/wss4j/trunk@1208355 13f79535-47bb-0310-9956-ffa450edef68
9a33fe2f876b9d698edf9ebe09d4ed4b84875e7b;BREAKING_CHANGES;85;[WSS-325][WSS-326] - Upgrading to Santuario 1.5.0-SNAPSHOT again git-svn-id: https://svn.apache.org/repos/asf/webservices/wss4j/trunk@1210883 13f79535-47bb-0310-9956-ffa450edef68
e739fcbc86379ab4dac366b1079a2fd094f37818;BREAKING_FIX;36;[WSS-326] - Upgrade to Santuario 1.5.0 complete git-svn-id: https://svn.apache.org/repos/asf/webservices/wss4j/trunk@1235195 13f79535-47bb-0310-9956-ffa450edef68
481df12b53b9ed4b7c56ef98fccb3637a8255792;BREAKING_CHANGES;12;Temporarily upgrading to xmlsec 1.5.2-SNAPSHOT git-svn-id: https://svn.apache.org/repos/asf/webservices/wss4j/trunk@1335607 13f79535-47bb-0310-9956-ffa450edef68
ce4c50f0aaad3de9d84599944c338f844d9b9f08;BREAKING_FIX;5;Upgrading to XML Security for Java 1.5.2 git-svn-id: https://svn.apache.org/repos/asf/webservices/wss4j/trunk@1338606 13f79535-47bb-0310-9956-ffa450edef68
5594eed420236e6f412304dd7829781ff8c5c7f5;BREAKING_CHANGES;42;Porting swssf branch to trunk git-svn-id: https://svn.apache.org/repos/asf/webservices/wss4j/trunk@1373403 13f79535-47bb-0310-9956-ffa450edef68
68065b23bdf4c2e1b70a59c8f47600e5b977760c;BREAKING_FIX;60;[maven-release-plugin] prepare release wss4j-2.0.0 git-svn-id: https://svn.apache.org/repos/asf/webservices/wss4j/trunk@1591862 13f79535-47bb-0310-9956-ffa450edef68
c091fca53473ef921bbc928db4d7830f9e1c09d5;BREAKING_CHANGES;60;[maven-release-plugin] prepare for next development iteration git-svn-id: https://svn.apache.org/repos/asf/webservices/wss4j/trunk@1591864 13f79535-47bb-0310-9956-ffa450edef68
f083ba52e03781e7b436b022f41b22c0943b736b;BREAKING_FIX;1;[maven-release-plugin] prepare release wss4j-2.0.1 git-svn-id: https://svn.apache.org/repos/asf/webservices/wss4j/trunk@1607395 13f79535-47bb-0310-9956-ffa450edef68
be62f5e5d7d172eb14941e82c7e8a271bd96b7d0;BREAKING_CHANGES;1;[maven-release-plugin] prepare for next development iteration git-svn-id: https://svn.apache.org/repos/asf/webservices/wss4j/trunk@1607397 13f79535-47bb-0310-9956-ffa450edef68
db8718305928218b9d6b03f85ea997a6c7ffe916;BREAKING_FIX;83;[maven-release-plugin] prepare release wss4j-2.0.1 git-svn-id: https://svn.apache.org/repos/asf/webservices/wss4j/trunk@1607822 13f79535-47bb-0310-9956-ffa450edef68
d7319ad4c4ebf4dfa7c170594ecbe01c79be97bb;BREAKING_CHANGES;83;[maven-release-plugin] prepare for next development iteration git-svn-id: https://svn.apache.org/repos/asf/webservices/wss4j/trunk@1607824 13f79535-47bb-0310-9956-ffa450edef68
62841c0f43d9aa91caffec982875c4633fe08bc3;BREAKING_FIX;129;[maven-release-plugin] prepare release wss4j-2.0.2 git-svn-id: https://svn.apache.org/repos/asf/webservices/wss4j/trunk@1627758 13f79535-47bb-0310-9956-ffa450edef68
